Ticker,ISIN,Name,Trading Region,Industry,Sector,Total Employees (FY),Market Cap,Enterprise Value,Price (1D Ago),Market Value,Shrs Out,Shares Out,Common Shares Outstanding (FY),Total Assets (FY),Total Liabilities (FY),Total Capital (FY),Total Equity (FY),Leverage Ratio % (FY),Total Debt (FY),Cash And Equivalents (FY),Total Debt / Equity (FY),Total Liabilities / Total Assets (FY),Return on Assets (ROA) % (FY),Return on Capital (ROC) % (FY),Return on Common Equity (ROCE) % (FY),Total Debt to Capital % (FY),Return On Equity % (FY),Total Revenues (FY),Gross Profit (FY),Operating Income (FY),Net Income - (IS) (FY),P/E (LTM),P/TBV (LTM),Book Value / Share (FY),EPS 5Y Fwd Growth (NTM),ROA - Est High (FY5E),ROE - Est High (FY5E),EV/Sales (EST FY5),EV/EBIT (EST FY6),Total Equity/CAGR (5Y FY),Total Assets/CAGR (5Y FY),Net Income/CAGR (5Y FY),Unit
BIM,FR0013280286,bioMérieux S.A.,Europe,Health Care Equipment and Supplies,Health Care,13696,11406.27,11584.36,91.6500,96.53,118159902.00,,118.15,5806.14,1663.72,4715.17,4142.42,,572.75,389.05,0.1383,0.2865,0.0681,0.0845,0.0972,0.1215,0.0873,4056.86,2271.25,628.17,394.79,29.0,4.1,35.06,0.1567,0.1069,0.1352,2.1,10.3,,0.0846,0.0687,EUR
1COV,DE0006062144,Covestro AG,Europe,Chemicals,Materials,17276,10988.31,13899.27,54.1200,58.22,188740330.00,,188.74,15055.20,7748.95,11051.00,7306.25,,3744.76,690.00,0.5125,0.5147,0.0059,0.0081,-0.0290,0.3389,-0.0294,15872.16,2572.31,147.94,-218.59,,1.9,38.55,0.7819,,0.1160,0.8,9.5,,0.0423,,EUR
STERV,FI0009005961,Stora Enso Oyj,Europe,Paper and Forest Products,Materials,19842,10799.73,13996.44,12.6150,13.69,788619987.00,,,22912.34,10892.03,17769.93,12020.31,,5749.61,2720.25,0.4783,0.4754,0.0011,0.0014,-0.0304,0.3236,-0.0369,10373.15,3371.61,40.85,-394.13,,1.0,15.38,0.2800,,0.0630,1.2,,,0.1006,,EUR
EDEN,FR0010908533,Edenred SE,Europe,Financial Services,Financials,11008,10742.61,12054.69,42.0500,43.15,248955830.00,,248.96,14677.63,15305.81,4306.69,-628.17,,4934.86,1494.81,,1.0428,0.0277,0.1024,,1.1459,,2551.34,1051.00,599.47,294.77,38.7,,-3.01,0.2388,-0.0030,-0.0450,3.0,,,0.1283,0.0100,EUR
TELIA,SE0000667925,Telia Company AB (publ),Europe,Diversified Telecommunication Services,Communication Services,17897,10443.28,20403.80,28.1000,2.66,3932109286.00,,3932.11,22457.97,16806.09,16815.12,5651.88,,11163.24,1154.89,1.9751,0.7483,0.0273,0.0362,-0.0100,0.6639,0.0001,8804.47,3988.27,971.93,30.05,,,1.35,1.4633,,,,,,-0.0176,-0.3764,SEK
AKZA,NL0013267909,Akzo Nobel N.V.,Europe,Chemicals,Materials,34760,10405.05,14968.40,57.7200,60.98,170629613.00,,170.60,16071.98,11053.21,11160.30,5018.77,,6141.53,1670.35,1.2237,0.6877,0.0453,0.0647,0.1033,0.5503,0.1073,11777.43,4674.32,1172.44,487.97,18.1,20.3,27.97,0.1933,0.0690,0.1480,1.1,8.6,,-0.0497,-0.4190,EUR
SAB,ES0113860A34,Banco de Sabadell S.A.,Europe,Banks,Financials,19148,10374.32,,1.7730,1.92,5414000000.00,,5403.04,259630.11,244307.52,,15322.59,,45988.41,1566.75,,,0.0055,,0.0905,,0.0989,5503.85,5503.85,2186.36,1470.72,7.2,0.8,2.83,0.0261,,,,,0.0275,0.0113,0.3235,EUR
ASRNL,NL0011872643,ASR Nederland N.V.,Europe,Insurance,Financials,3262,9989.56,29002.83,44.6500,47.38,210848162.00,,211.15,166447.34,156095.16,35542.06,10352.17,,25189.89,5614.93,2.4333,0.9378,0.0226,0.0991,0.1340,0.7087,0.1396,14084.79,7019.21,4242.66,1198.94,8.2,1.0,48.85,-0.0423,,0.1200,,15.5,,0.2064,0.1017,EUR
INW,IT0005090300,Infrastrutture Wireless Italiane S.p.A.,Europe,Diversified Telecommunication Services,Communication Services,296,9817.27,14302.00,9.8650,10.49,935568983.00,,947.54,10323.09,5535.72,9538.18,4787.37,,4750.81,104.97,0.9924,0.5362,0.0345,0.0373,0.0771,0.4981,0.0771,1060.15,989.87,567.89,374.80,26.7,,5.05,0.1237,0.0610,0.1350,10.1,15.2,,0.3707,0.1925,EUR
JDEP,NL0014332678,JDE Peet's N.V.,Europe,Food Products,Consumer Staples,18907,9784.32,14028.75,19.2000,20.13,486042837.00,,486.04,25547.58,13276.66,18828.66,12270.92,,6557.74,2260.98,0.5344,0.5197,0.0190,0.0262,0.0332,0.3483,0.0327,9042.84,3331.86,767.50,405.17,24.3,,25.06,0.0951,0.0340,0.0640,1.4,,,0.0137,-0.0495,EUR
ITRK,GB0031638363,Intertek Group plc,Europe,Professional Services,Industrials,43908,9675.37,10882.42,46.9200,60.00,161243328.00,,161.24,4510.15,2776.28,3286.21,1733.87,,1552.34,381.55,0.8953,0.6156,0.0899,0.1227,0.2281,0.4724,0.2376,4243.46,2438.08,660.22,379.13,25.7,,10.46,0.0708,,0.2480,2.0,,,0.0608,0.0090,GBP
EVK,DE000EVNK013,Evonik Industries AG,Europe,Chemicals,Materials,32259,9622.72,13438.00,18.9750,20.65,466000000.00,,466.00,22013.69,12093.18,14609.19,9920.51,,4688.67,826.89,0.4726,0.5493,0.0181,0.0266,-0.0468,0.3209,-0.0451,16854.71,3743.65,669.02,-513.36,,2.5,21.11,0.2188,,,0.8,10.4,,-0.0034,,EUR
FBK,IT0000072170,FinecoBank Banca Fineco S.p.A.,Europe,Banks,Financials,1384,9238.31,,14.2600,15.12,610918227.00,,610.54,36780.42,34357.50,,2422.91,,1202.10,2502.26,,,0.0175,,0.2968,,0.2968,1358.68,1356.30,972.75,672.45,14.1,3.4,3.97,-0.0203,,,,,0.1760,0.0614,0.2035,EUR
VOLCARB,SE0021628898,Volvo Car AB (publ.),Europe,Automobiles,Consumer Discretionary,42543,9078.03,8731.25,33.2550,3.05,2979524179.00,,,35339.07,22399.37,16539.24,12939.70,,3599.54,4746.19,0.2782,0.6338,0.0493,0.1062,0.1086,0.2176,0.1135,39601.33,7697.38,2690.68,1294.42,7.6,1.8,4.21,0.1530,,,,,,0.1103,0.1380,SEK
NIBEB,SE0015988019,NIBE Industrier AB (publ),Europe,Building Products,Industrials,23100,8632.02,10464.80,46.6700,4.28,2016066488.00,,,6753.62,3758.10,5223.78,2995.51,,2228.26,372.47,0.7439,0.5565,0.0668,0.0888,0.1647,0.4266,0.1649,4626.00,1549.27,646.96,474.51,34.7,,1.48,0.0165,,,,11.5,,0.1610,0.1820,SEK
MOWI,NO0003054108,Mowi ASA,Europe,Food Products,Consumer Staples,10322,8627.95,11378.13,180.0000,16.68,517111091.00,,517.11,9095.83,4950.65,6980.13,4145.18,,2834.95,318.39,0.6839,0.5443,0.0777,0.0988,0.1252,0.4061,0.1181,6078.38,2790.46,1082.69,490.62,24.1,3.9,7.67,0.2876,,,1.5,7.6,,0.0987,-0.0474,NOK
UU,GB00B39J2M42,United Utilities Group PLC,Europe,Water Utilities,Utilities,6176,8474.59,19345.85,9.9600,12.43,681888418.00,,681.89,19752.67,17158.13,15215.09,2594.55,,12620.54,1765.75,4.8643,0.8686,0.0202,0.0265,0.0556,0.8295,0.0556,2460.03,2182.67,616.17,160.13,53.0,3.5,3.80,0.3359,,,5.2,14.8,,0.0349,-0.1898,GBP
AMP,IT0004056880,Amplifon S.p.A.,Europe,Health Care Providers and Services,Health Care,12715,8152.25,9617.22,33.1600,36.04,226171721.00,,225.75,4077.30,2861.05,2898.86,1216.25,,1682.61,213.23,1.3834,0.7017,0.0473,0.0664,0.1450,0.5804,0.1447,2495.12,605.48,303.56,171.27,46.9,,5.38,0.2096,,,2.7,19.8,,0.1036,0.0908,EUR
LI,FR0000121964,Klépierre SA,Europe,Retail REITs,Real Estate,1035,7685.38,17972.09,25.2400,26.90,285649235.00,,285.65,22182.38,11120.78,19857.92,11061.60,,8796.31,396.00,0.7952,0.5013,0.0304,0.0339,0.0235,0.4430,0.0170,1701.59,1274.90,1090.20,212.74,36.4,0.9,30.98,0.0122,,,,,,-0.0410,-0.2548,EUR
SBRY,GB00B019KW72,J Sainsbury plc,Europe,Consumer Staples Distribution and Retail,Consumer Staples,148498,7605.05,13370.46,2.6020,3.25,2341496937.00,,2340.51,31718.37,23025.91,16981.18,8692.46,,8288.72,2514.84,0.9536,0.7259,0.0342,0.0630,0.0194,0.4881,0.0194,41386.64,3780.49,1774.44,173.39,45.0,1.0,3.71,0.0452,0.0200,0.0650,0.3,8.5,,-0.0220,-0.0593,GBP
YAR,NO0010208051,Yara International ASA,Europe,Chemicals,Materials,17513,7282.09,11309.45,308.3000,28.59,254725627.00,,254.73,16027.00,8457.00,11800.00,7570.00,,4230.00,539.00,0.5588,0.5277,0.0152,0.0210,0.0059,0.3585,0.0067,15431.00,3336.00,414.00,48.00,,1.1,29.65,0.1379,,,0.7,,,-0.0077,-0.2130,NOK
HELN,CH0466642201,Helvetia Holding AG,Europe,Insurance,Financials,13812,7090.64,8500.99,120.8000,134.18,52844119.00,,52.84,70404.84,65511.13,7725.78,4893.71,,2832.07,2250.56,0.5787,0.9305,0.0046,0.0407,0.0814,0.3666,0.0720,10970.30,1667.97,511.13,336.71,21.5,3.4,75.09,,,,,,,0.0035,-0.0812,CHF
G1A,DE0006602006,GEA Group Aktiengesellschaft,Europe,Machinery,Industrials,18773,7081.84,6798.09,38.9400,42.23,167695641.00,,170.88,6573.47,3926.39,2930.46,2647.08,,283.39,688.77,0.1071,0.5973,0.0539,0.1207,0.1730,0.0967,0.1730,5932.32,2026.36,565.82,433.61,16.4,11.5,15.49,0.0659,0.0810,0.1950,1.0,8.5,,0.0081,0.2820,EUR
GFC,FR0010040865,Gecina,Europe,Office REITs,Real Estate,473,7077.27,13959.63,90.7000,95.78,73888235.00,,73.88,19484.16,7782.39,18941.64,11701.77,,7239.88,158.66,0.6187,0.3994,0.0163,0.0168,-0.1531,0.3822,-0.1534,885.83,654.44,552.84,-1973.04,,0.6,158.14,0.0516,,,,,,-0.0218,,EUR
TEL2B,SE0005190238,Tele2 AB (publ),Europe,Wireless Telecommunication Services,Communication Services,4485,6879.33,9603.07,105.8500,9.94,691933077.00,,,6550.82,4291.81,5410.21,2259.01,,3151.20,162.04,1.3950,0.6552,0.0524,0.0632,0.1606,0.5825,0.1606,2885.64,1180.38,556.32,370.39,20.0,,3.27,0.0641,0.0610,0.2650,3.1,12.0,,-0.0438,0.3433,SEK
TEP,FR0000051807,Teleperformance SE,Europe,Professional Services,Industrials,360980,6463.62,11349.10,100.7000,108.52,59562163.00,,60.71,12976.37,8298.74,10685.58,4677.63,,6007.95,973.72,1.2844,0.6395,0.0632,0.0777,0.1524,0.5622,0.1523,9213.18,2880.66,1152.57,664.61,9.7,,76.95,0.1227,,,,,,0.1483,0.1405,EUR
LEG,DE000LEG1110,LEG Immobilien SE,Europe,Real Estate Management and Development,Real Estate,1878,6079.38,15827.88,74.3600,81.64,74470000.00,,74.11,21311.11,13044.16,18617.80,8266.95,,10350.85,306.36,1.2521,0.6121,0.0176,0.0202,-0.1899,0.5560,-0.1888,1512.14,688.01,631.82,-1731.84,,0.7,111.18,-0.0041,,,,,,0.1151,,EUR
WDP,BE0974349814,Warehouses De Pauw SA,Europe,Industrial REITs,Real Estate,123,6073.96,8849.03,25.0400,27.14,223797576.00,,219.43,7807.78,2817.08,7619.34,4990.69,,2628.65,14.38,0.5267,0.3608,0.0269,0.0277,0.0051,0.3450,0.0058,441.41,378.60,335.60,24.62,30.9,1.2,22.35,0.0556,,,,,,0.1522,-0.4162,EUR
RF,FR0000121121,Eurazeo SE,Europe,Financial Services,Financials,,5860.64,6974.56,74.2000,79.62,73604565.00,,73.60,10782.00,1558.67,10261.50,9223.33,,1038.17,129.65,0.1126,0.1446,0.0035,0.0042,0.2503,0.1012,0.2102,447.06,342.60,89.73,2014.04,2.8,0.7,121.52,,,,,,,-0.0422,0.4936,EUR
SK,FR0000121709,SEB SA,Europe,Household Durables,Consumer Discretionary,31338,5821.98,8039.77,102.4000,105.74,55061363.00,,55.06,10214.73,6394.13,7453.30,3820.60,,3632.70,1581.03,0.9508,0.6260,0.0473,0.0643,0.1213,0.4874,0.1272,8838.60,965.22,767.06,426.36,13.7,,64.13,,,,0.7,,,0.0551,-0.0162,EUR
BDEV,GB0000811801,Barratt Developments plc,Europe,Household Durables,Consumer Discretionary,6728,5791.86,4902.28,4.7180,5.98,969316386.00,,969.59,10164.71,3057.54,7424.15,7107.17,,316.98,1611.70,0.0446,0.3008,0.0666,0.0921,0.0945,0.0427,0.0945,6757.93,1441.52,1097.62,673.46,21.1,1.0,7.33,-0.1737,0.0570,0.0900,0.6,4.2,,0.0293,-0.0462,GBP
ADEN,CH0012138605,Adecco Group AG,Europe,Professional Services,Industrials,38000,5562.87,9001.78,30.0200,33.20,167555416.00,,167.56,13722.68,9747.18,8118.79,3975.49,,4143.30,613.82,1.0422,0.7103,0.0363,0.0619,0.0869,0.5103,0.0873,26448.44,5485.76,822.48,358.80,16.8,,23.69,0.1209,,,0.3,,,0.0505,-0.0663,CHF
OCI,NL0010558797,OCI N.V.,Europe,Chemicals,Materials,4102,5152.86,8613.16,23.2700,24.45,210714820.00,,210.71,8974.50,7024.10,4250.10,1950.40,,2299.70,156.90,1.1791,0.7827,-0.0254,-0.0406,-0.4803,0.5411,-0.1510,1962.60,-163.10,-381.60,-392.00,,5.9,4.40,-0.2680,,0.0100,3.9,43.5,,0.0416,,EUR
TEMN,CH0012453913,Temenos AG,Europe,Software,Information Technology,6594,4960.41,5530.92,61.0000,68.43,72493808.00,,72.49,2326.84,1644.86,1446.66,681.98,,764.68,106.89,1.1213,0.7069,0.0547,0.0870,0.2137,0.5286,0.2137,1000.22,709.09,199.38,134.68,36.6,,9.41,0.0859,,,3.5,,,0.0713,-0.0435,CHF
HUSQB,SE0001662230,Husqvarna AB (publ),Europe,Machinery,Industrials,12757,4601.73,6168.26,86.5800,8.04,571518581.00,,,5712.97,3355.59,4067.60,2357.38,,1710.22,151.43,0.7255,0.5874,0.0516,0.0724,0.0911,0.4204,0.0911,5281.69,1670.95,488.10,215.88,26.6,7.1,4.12,-0.0180,,,,,,0.0833,0.1243,SEK
